시간(초),피부온도(C),히터온도(C),목표온도(C),PWM(%),심박수(BPM),안전상태,세션상태,연속수면(분),수면판정
2,27.3,24.0,0.0,0,0,NORMAL,IDLE,0,깨어있음
3,27.3,24.0,0.0,0,0,NORMAL,IDLE,0,깨어있음
4,27.2,24.0,37.5,42,15,NORMAL,RUNNING,0,깨어있음
5,27.3,24.0,37.5,44,15,NORMAL,RUNNING,0,깨어있음
6,27.2,24.0,37.5,46,70,NORMAL,RUNNING,0,깨어있음
7,27.3,24.0,37.5,48,58,NORMAL,RUNNING,0,깨어있음
8,27.2,24.0,37.5,50,116,NORMAL,RUNNING,0,깨어있음
9,27.2,24.0,37.5,50,46,NORMAL,RUNNING,0,깨어있음
10,27.2,24.0,37.5,50,70,NORMAL,RUNNING,0,깨어있음
11,27.3,24.0,37.5,50,70,NORMAL,RUNNING,0,깨어있음
12,27.3,24.0,37.5,50,36,NORMAL,RUNNING,0,깨어있음
13,27.3,24.0,37.5,50,36,NORMAL,RUNNING,0,깨어있음
14,27.2,24.0,37.5,50,115,NORMAL,RUNNING,0,깨어있음
15,27.2,24.0,37.5,50,51,NORMAL,RUNNING,0,깨어있음
16,27.2,24.0,37.5,50,77,NORMAL,RUNNING,0,깨어있음
17,27.3,24.0,37.5,50,68,NORMAL,RUNNING,0,깨어있음
18,27.2,24.0,37.5,50,45,NORMAL,RUNNING,0,깨어있음
19,27.2,24.0,37.5,50,45,NORMAL,RUNNING,0,깨어있음
20,27.2,24.0,37.5,50,81,NORMAL,RUNNING,0,깨어있음
21,27.2,24.0,37.5,50,81,NORMAL,RUNNING,0,깨어있음
22,27.2,24.0,37.5,50,115,NORMAL,RUNNING,0,깨어있음
23,27.2,24.0,37.5,50,59,NORMAL,RUNNING,0,깨어있음
24,27.3,24.0,37.5,50,59,NORMAL,RUNNING,0,깨어있음
25,27.3,24.0,37.5,50,38,NORMAL,RUNNING,0,깨어있음
26,27.2,24.0,37.5,50,59,NORMAL,RUNNING,0,깨어있음
27,27.2,24.0,37.5,50,45,NORMAL,RUNNING,0,깨어있음
28,27.2,24.0,37.5,50,45,NORMAL,RUNNING,0,깨어있음
29,27.3,24.0,37.5,50,45,NORMAL,RUNNING,0,깨어있음
30,27.2,24.0,37.5,50,22,NORMAL,RUNNING,0,깨어있음
31,27.3,24.0,37.5,50,65,NORMAL,RUNNING,0,깨어있음
32,27.3,24.0,37.5,50,107,NORMAL,RUNNING,0,깨어있음
33,27.2,24.0,37.5,50,71,NORMAL,RUNNING,0,깨어있음
34,27.3,24.0,37.5,50,71,NORMAL,RUNNING,0,깨어있음
35,27.3,24.0,37.5,50,47,NORMAL,RUNNING,0,깨어있음
36,27.2,24.0,37.5,50,41,NORMAL,RUNNING,0,깨어있음
37,27.3,24.0,37.5,50,54,NORMAL,RUNNING,0,깨어있음
38,27.3,24.0,37.5,50,54,NORMAL,RUNNING,0,깨어있음
39,27.2,24.0,37.5,51,54,NORMAL,RUNNING,0,깨어있음
40,27.1,24.0,37.5,51,54,NORMAL,RUNNING,0,깨어있음
41,27.1,24.0,37.5,51,17,NORMAL,RUNNING,0,깨어있음
42,27.2,24.0,37.5,50,43,NORMAL,RUNNING,0,깨어있음
43,27.2,24.0,37.5,50,43,NORMAL,RUNNING,0,깨어있음
44,27.2,24.0,37.5,50,38,NORMAL,RUNNING,0,깨어있음
45,27.2,24.0,37.5,50,54,NORMAL,RUNNING,0,깨어있음
46,27.2,24.0,37.5,50,41,NORMAL,RUNNING,0,깨어있음
47,27.1,24.0,37.5,51,41,NORMAL,RUNNING,0,깨어있음
48,27.2,24.0,37.5,50,91,NORMAL,RUNNING,0,깨어있음
49,27.2,24.0,37.5,50,73,NORMAL,RUNNING,0,깨어있음
50,27.4,24.0,37.5,49,48,NORMAL,RUNNING,0,깨어있음
51,27.8,24.0,37.5,47,48,NORMAL,RUNNING,0,깨어있음
52,27.5,24.0,37.5,49,37,NORMAL,RUNNING,0,깨어있음
53,27.5,24.0,37.5,49,45,NORMAL,RUNNING,0,깨어있음
54,27.5,24.0,37.5,49,45,NORMAL,RUNNING,0,깨어있음
55,27.5,24.0,37.5,49,26,NORMAL,RUNNING,0,깨어있음
56,27.5,24.0,37.5,49,81,NORMAL,RUNNING,0,깨어있음
57,27.6,24.0,37.5,49,48,NORMAL,RUNNING,0,깨어있음
58,27.6,24.0,37.5,49,100,NORMAL,RUNNING,0,깨어있음
59,27.4,24.0,37.5,49,300,NORMAL,RUNNING,0,깨어있음
60,27.4,24.0,37.5,49,70,NORMAL,RUNNING,0,깨어있음
61,27.4,24.0,37.5,49,70,NORMAL,RUNNING,0,깨어있음
62,27.4,23.9,37.5,49,32,NORMAL,RUNNING,0,깨어있음
63,27.4,24.0,37.5,49,32,NORMAL,RUNNING,0,깨어있음
64,27.5,23.9,37.5,49,33,NORMAL,RUNNING,1,깨어있음
65,27.4,23.9,37.5,49,33,NORMAL,RUNNING,1,깨어있음
66,27.5,23.9,37.5,49,73,NORMAL,RUNNING,1,깨어있음
67,27.5,23.9,37.5,49,73,NORMAL,RUNNING,1,깨어있음
68,27.2,24.0,37.5,51,39,NORMAL,RUNNING,1,깨어있음
69,27.0,23.9,37.5,51,58,NORMAL,RUNNING,1,깨어있음
70,26.6,24.0,37.5,53,58,NORMAL,RUNNING,1,깨어있음
71,26.5,24.0,37.5,53,35,NORMAL,RUNNING,1,깨어있음
72,26.6,24.0,37.5,53,35,NORMAL,RUNNING,1,깨어있음
73,26.6,24.0,37.5,53,27,NORMAL,RUNNING,1,깨어있음
74,26.6,24.0,37.5,53,130,NORMAL,RUNNING,1,깨어있음
